
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1724
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING       5816
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING       5816
  TCP    0.0.0.0:3001           0.0.0.0:0              LISTENING       58836
  TCP    0.0.0.0:5000           0.0.0.0:0              LISTENING       35644
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       11480
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5433           0.0.0.0:0              LISTENING       27608
  TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       4924
  TCP    0.0.0.0:20271          0.0.0.0:0              LISTENING       4496
  TCP    0.0.0.0:27000          0.0.0.0:0              LISTENING       7300
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1456
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1284
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2088
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3044
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4684
  TCP    0.0.0.0:49685          0.0.0.0:0              LISTENING       8928
  TCP    0.0.0.0:49691          0.0.0.0:0              LISTENING       1424
  TCP    0.0.0.0:61733          0.0.0.0:0              LISTENING       17228
  TCP    127.0.0.1:1001         0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:3001         127.0.0.1:49204        TIME_WAIT       0
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       4956
  TCP    127.0.0.1:5354         127.0.0.1:49670        ESTABLISHED     4956
  TCP    127.0.0.1:5354         127.0.0.1:49690        ESTABLISHED     4956
  TCP    127.0.0.1:5939         0.0.0.0:0              LISTENING       5784
  TCP    127.0.0.1:5939         127.0.0.1:65484        ESTABLISHED     5784
  TCP    127.0.0.1:7058         0.0.0.0:0              LISTENING       13744
  TCP    127.0.0.1:19292        0.0.0.0:0              LISTENING       54048
  TCP    127.0.0.1:27000        127.0.0.1:49689        ESTABLISHED     7300
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING       4880
  TCP    127.0.0.1:49670        127.0.0.1:5354         ESTABLISHED     4880
  TCP    127.0.0.1:49687        127.0.0.1:49688        ESTABLISHED     8928
  TCP    127.0.0.1:49688        127.0.0.1:49687        ESTABLISHED     8928
  TCP    127.0.0.1:49689        127.0.0.1:27000        ESTABLISHED     8928
  TCP    127.0.0.1:49690        127.0.0.1:5354         ESTABLISHED     4880
  TCP    127.0.0.1:50828        127.0.0.1:58497        TIME_WAIT       0
  TCP    127.0.0.1:50829        127.0.0.1:58497        TIME_WAIT       0
  TCP    127.0.0.1:50831        127.0.0.1:58497        ESTABLISHED     56100
  TCP    127.0.0.1:50840        127.0.0.1:58497        ESTABLISHED     56100
  TCP    127.0.0.1:51465        0.0.0.0:0              LISTENING       4968
  TCP    127.0.0.1:51705        127.0.0.1:58497        ESTABLISHED     56100
  TCP    127.0.0.1:53054        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:53811        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:53956        0.0.0.0:0              LISTENING       49616
  TCP    127.0.0.1:54130        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:58387        127.0.0.1:58497        ESTABLISHED     56100
  TCP    127.0.0.1:58479        127.0.0.1:58497        ESTABLISHED     56100
  TCP    127.0.0.1:58497        0.0.0.0:0              LISTENING       49616
  TCP    127.0.0.1:58497        127.0.0.1:50830        TIME_WAIT       0
  TCP    127.0.0.1:58497        127.0.0.1:50831        ESTABLISHED     49616
  TCP    127.0.0.1:58497        127.0.0.1:50840        ESTABLISHED     49616
  TCP    127.0.0.1:58497        127.0.0.1:51705        ESTABLISHED     49616
  TCP    127.0.0.1:58497        127.0.0.1:58381        TIME_WAIT       0
  TCP    127.0.0.1:58497        127.0.0.1:58387        ESTABLISHED     49616
  TCP    127.0.0.1:58497        127.0.0.1:58479        ESTABLISHED     49616
  TCP    127.0.0.1:58497        127.0.0.1:58512        ESTABLISHED     49616
  TCP    127.0.0.1:58497        127.0.0.1:58518        ESTABLISHED     49616
  TCP    127.0.0.1:58497        127.0.0.1:58828        ESTABLISHED     49616
  TCP    127.0.0.1:58497        127.0.0.1:58829        ESTABLISHED     49616
  TCP    127.0.0.1:58497        127.0.0.1:60623        TIME_WAIT       0
  TCP    127.0.0.1:58497        127.0.0.1:62477        TIME_WAIT       0
  TCP    127.0.0.1:58497        127.0.0.1:62482        ESTABLISHED     49616
  TCP    127.0.0.1:58497        127.0.0.1:62996        TIME_WAIT       0
  TCP    127.0.0.1:58498        0.0.0.0:0              LISTENING       56100
  TCP    127.0.0.1:58498        127.0.0.1:58514        ESTABLISHED     56100
  TCP    127.0.0.1:58498        127.0.0.1:58526        ESTABLISHED     56100
  TCP    127.0.0.1:58499        0.0.0.0:0              LISTENING       56100
  TCP    127.0.0.1:58499        127.0.0.1:58377        TIME_WAIT       0
  TCP    127.0.0.1:58499        127.0.0.1:58669        TIME_WAIT       0
  TCP    127.0.0.1:58499        127.0.0.1:62483        TIME_WAIT       0
  TCP    127.0.0.1:58499        127.0.0.1:62484        TIME_WAIT       0
  TCP    127.0.0.1:58511        0.0.0.0:0              LISTENING       56100
  TCP    127.0.0.1:58511        127.0.0.1:58522        ESTABLISHED     56100
  TCP    127.0.0.1:58512        127.0.0.1:58497        ESTABLISHED     56100
  TCP    127.0.0.1:58514        127.0.0.1:58498        ESTABLISHED     49616
  TCP    127.0.0.1:58518        127.0.0.1:58497        ESTABLISHED     56100
  TCP    127.0.0.1:58522        127.0.0.1:58511        ESTABLISHED     49616
  TCP    127.0.0.1:58526        127.0.0.1:58498        ESTABLISHED     33960
  TCP    127.0.0.1:58650        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:58651        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:58659        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:58660        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:58828        127.0.0.1:58497        ESTABLISHED     56100
  TCP    127.0.0.1:58829        127.0.0.1:58497        ESTABLISHED     56100
  TCP    127.0.0.1:59733        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:60391        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:60394        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:60398        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:60399        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:60401        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:60402        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:60403        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:62482        127.0.0.1:58497        ESTABLISHED     56100
  TCP    127.0.0.1:63467        127.0.0.1:3001         TIME_WAIT       0
  TCP    127.0.0.1:65484        127.0.0.1:5939         ESTABLISHED     36444
  TCP    127.0.0.1:65486        127.0.0.1:65487        ESTABLISHED     36444
  TCP    127.0.0.1:65487        127.0.0.1:65486        ESTABLISHED     36444
  TCP    172.24.160.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.10.10:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.10.10:49693    178.255.155.169:5938   ESTABLISHED     5784
  TCP    192.168.10.10:49699    57.128.101.79:443      ESTABLISHED     4924
  TCP    192.168.10.10:49709    4.213.25.241:443       ESTABLISHED     6116
  TCP    192.168.10.10:50161    86.51.34.24:53         TIME_WAIT       0
  TCP    192.168.10.10:50825    20.50.88.241:443       ESTABLISHED     51768
  TCP    192.168.10.10:50827    34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.10.10:52085    20.189.173.14:443      ESTABLISHED     33960
  TCP    192.168.10.10:52767    86.51.34.24:53         TIME_WAIT       0
  TCP    192.168.10.10:52862    86.51.34.24:53         TIME_WAIT       0
  TCP    192.168.10.10:54333    18.97.36.49:443        ESTABLISHED     23204
  TCP    192.168.10.10:54900    52.26.168.215:443      ESTABLISHED     38120
  TCP    192.168.10.10:55788    20.50.201.204:443      TIME_WAIT       0
  TCP    192.168.10.10:55789    20.189.173.9:443       TIME_WAIT       0
